date,Mercure_AD,Mercure_decl,Vénus_AD,Vénus_decl,Mars_AD,Mars_decl,Jupiter_AD,Jupiter_decl,Saturne_AD,Saturne_decl,Uranus_AD,Uranus_decl,Neptune_AD,Neptune_decl
2023-01-01 00:00:00+00:00,19.671779132172137,-20.558207944629448,19.96006797475793,-22.09796177617486,4.436526345936547,24.536517180862496,0.08762428565275979,-0.8331190715545873,21.658747102603098,-15.317758998005765,2.8317026794358267,15.942591381682,23.57536627490337,-4.04562161954193
2023-01-15 00:00:00+00:00,18.620148966754382,-19.85907225852782,21.168306525046944,-17.96416281506386,4.370725493077285,24.4071351653079,0.20447853808385932,-0.014904341541362581,21.754935441760132,-14.832193717673903,2.8196438269781896,15.895272711456528,23.59193081140593,-3.93155099611917
2023-02-01 00:00:00+00:00,19.196257763181556,-21.712568901522438,22.541791958759973,-10.799126971997183,4.5252851141012576,24.62199497092709,0.38204571521241426,1.1965078509070606,21.881911827947185,-14.182942638334007,2.819981684077212,15.904549003608015,23.619566402944688,-3.746277816714631
2023-02-15 00:00:00+00:00,20.485654224295214,-20.27210101148782,23.609836165731778,-3.835323312222131,4.800793366779573,24.992114920559324,0.5514504189111855,2.3285887684281605,21.99061735206224,-13.619724744198718,2.83279830066771,15.967665596100465,23.647196706259365,-3.564099317931156
2023-03-01 00:00:00+00:00,21.957881958197504,-14.71515485351222,0.6497832820455329,3.4655331306557864,5.17238767435276,25.363509321331875,0.7368581757591993,3.54492985649604,22.09944497229525,-13.04964665516485,2.856358051050468,16.077544142003273,23.677859365858282,-3.364216852892258
2023-03-15 00:00:00+00:00,23.52441781612963,-4.9429345172042085,1.6913427708617566,10.536697662503157,5.613121551096921,25.582909753463028,0.9339117036172939,4.8113035813567615,22.205030483786157,-12.49217761258146,2.889493287397986,16.227896944754413,23.710118566852074,-3.156135824131704
2023-04-01 00:00:00+00:00,1.5192965199651296,10.545644421156156,2.996095569959358,18.02486846586059,6.212463202479334,25.472634619687597,1.1835754570123629,6.373773248699007,22.32442455818922,-11.85945583412953,2.940395175875434,16.45350836210989,23.749373856698778,-2.905569574004554
2023-04-15 00:00:00+00:00,2.656657080472055,18.619187130466702,4.117396870965429,22.650731601961876,6.740413448726067,24.972348816741615,1.393499074141581,7.647007128027629,22.411892898798868,-11.397993599395374,2.9888941120276495,16.663751762145775,23.780092245161526,-2.712007231166625
2023-05-01 00:00:00+00:00,2.592393944388879,16.24589966375049,5.4345439087851,25.629648296732608,7.365838604170708,23.88241550531439,1.63381850231992,9.054076339978824,22.496044430539694,-10.961646807814152,3.0489146254436426,16.918394924300458,23.81163584093381,-2.516235708707487
2023-05-15 00:00:00+00:00,2.2745144265493082,10.886094513718641,6.571608772599669,25.966468287766602,7.921722365627352,22.4566351974174,1.8406452505682733,10.217161885912546,22.552989913187748,-10.678501541307437,3.1030915521738587,17.14320907975387,23.834804633543975,-2.3755197825946732
2023-06-01 00:00:00+00:00,2.936074121723235,13.239928403296467,7.848940285706063,23.69906961137499,8.59829184816809,20.144584277864386,2.082336634486989,11.514538137021432,22.597958475147472,-10.479303376117606,3.167898044129223,17.40604681803308,23.855938102510596,-2.2518815519657647
2023-06-15 00:00:00+00:00,4.270946626639508,19.751955309491038,8.748656905544172,20.142349873875613,9.151528413039784,17.795743601364734,2.269023745119115,12.46667511299618,22.613325786329835,-10.444721475055665,3.2180294543759826,17.604788292960226,23.866742566806828,-2.193903917534965
2023-07-01 00:00:00+00:00,6.612145818798401,24.41430129522665,9.533219260510574,15.096879631640913,9.777476900561503,14.672556797528033,2.462824371110764,13.403870688629565,22.606054099650223,-10.551478692104345,3.269102408574802,17.80302548500079,23.871215255484934,-2.179204173329959
2023-07-15 00:00:00+00:00,8.656549919008505,20.230083891760565,9.911267708627378,10.783365128922055,10.319432865219339,11.61250023230935,2.60987760090756,14.075564562766793,22.578857544623844,-10.764055999649528,3.306343818779088,17.944705684935773,23.868191666505847,-2.211098572979836
2023-08-01 00:00:00+00:00,10.384232296203654,9.988238235795626,9.802093865672513,7.431595627714595,10.973354485251432,7.564658149804238,2.7519895356035486,14.683792394869426,22.523146073597164,-11.145038956026632,3.339853552860887,18.069656264373748,23.856276734306157,-2.302109811524524
2023-08-15 00:00:00+00:00,11.214339636651829,2.247704874513417,9.277155061907527,7.608932195491764,11.511681739019298,4.028614120368503,2.8324672289885284,14.999858761068799,22.463563844955576,-11.52529417493874,3.35636916431626,18.12979364190179,23.840566777600046,-2.413576965384312
2023-09-01 00:00:00+00:00,11.164902779059467,0.5020621056187415,8.828960565216232,10.067246186005622,12.171399408142474,-0.41744678300216986,2.87772107697132,15.141995665843611,22.383316998947414,-12.011740758005459,3.3617516486764663,18.14759872635901,23.816038224363364,-2.5813833292365764
2023-09-15 00:00:00+00:00,10.596268407967196,7.524116122868444,8.995378852122458,11.426335169444874,12.724959012164499,-4.122393455972672,2.8679584945890997,15.05423024654953,22.318648710172603,-12.385616295830165,3.3539728778316698,18.116848553332698,23.79310418426961,-2.734393770958331
2023-10-01 00:00:00+00:00,11.608301981531119,4.554493046143352,9.639477545392202,10.955060405961575,13.37590448861105,-8.301992742429396,2.8050306580509057,14.733457990251459,22.255443914262088,-12.733525259325878,3.332366506034446,18.034281820932314,23.766197832161684,-2.9102676353531987
2023-10-15 00:00:00+00:00,13.09607644941472,-5.578309712046162,10.424514048176546,8.644507099871435,13.967193067775803,-11.815006186922105,2.711400216583143,14.28790868778004,22.215813260267748,-12.93722423114785,3.303983563094052,17.926215596270286,23.744054317335127,-3.052029647971596
